Prediction,Accuracy,Error,Reliability,Relevance,Privacy,Volitionality,Causes Outcome,Causes Cycle,Causes Disparity,Caused by Group
Cross Test Hos,0.79086115993,NA,0.161771331777,0.772331904735,,-0.00605420003779,0.227064379017,-0.0624297733042,-0.148227187405,-0.0212624150184
Cross Test Hos,0.792618629174,NA,0.15973280861,0.77120582334,-0.0187940839411,,0.226006156313,-0.0598051951233,-0.147181607739,-0.0210611383577
Cross Test Hos,0.792618629174,NA,0.140785954907,0.8633053766,-0.023190512362,0.0169622445992,,-0.0128377454767,-0.132982386461,-0.018836628609
Cross Test Hos,0.789103690685,NA,0.163279177417,0.774470549385,-0.0237500444522,-0.00391864346171,0.215752196128,,-0.17385883852,-0.0243411028752
Cross Test Hos,0.794376098418,NA,0.156154580088,0.782623857,-0.0198361394838,0.00622121989746,0.220261820667,-0.106132799327,,-0.105787452805
Cross Test Hos,0.79086115993,NA,0.158787181426,0.771149592806,-0.0186413299834,-0.00509228747716,0.226435110176,-0.060921530574,-0.161818141202,
Cross Test Hos,0.734622144112,NA,0.408727574478,,,,,,,
Cross Test Hos,0.785588752197,NA,,0.92458513489,,,,,,
Cross Test Hos,0.694200351494,NA,,,-0.124944071671,,,,,
Cross Test Hos,0.694200351494,NA,,,,0.0991798831263,,,,
Cross Test Hos,0.715289982425,NA,,,,,0.458412870216,,,
Cross Test Hos,0.683655536028,NA,,,,,,-0.151599132019,,
Cross Test Hos,0.674868189807,NA,,,,,,,-0.240910532539,
Cross Test Hos,0.674868189807,NA,,,,,,,,-0.153116680294
Cross Test Loan,0.873183619551,NA,0.177461920551,0.696065892356,-0.00452865001398,-0.00377278894758,0.234507355419,-0.0302787974216,-0.134224464722,-0.0202285027059
Cross Test Loan,0.879788639366,NA,,0.751214295569,-0.0200579023037,-0.0129588722484,0.221913123017,-0.0433931560642,-0.127313431581,-0.0148545112541
Cross Test Loan,0.8071334214,NA,0.391764801756,,-0.0280444350733,0.0077931938125,0.476044252093,-0.0814376914962,-0.238690636864,0.0113669117249
Cross Test Loan,0.873183619551,NA,0.178050128581,0.696220408226,,-0.00416291887887,0.234685812313,-0.0307791997969,-0.134298771048,-0.0203157898698
Cross Test Loan,0.873183619551,NA,0.177854054085,0.696017961816,-0.00491220357978,,0.234041596712,-0.0303328104161,-0.133689023328,-0.0206018637501
Cross Test Loan,0.873183619551,NA,0.157247667677,0.783200108944,-0.01266482425,0.0133685793825,,0.0223105017165,-0.118999543097,-0.018779670803
Cross Test Loan,0.873183619551,NA,0.179486778511,0.697984655922,-0.00679155096443,-0.00411675115064,0.228728312996,,-0.147762575015,-0.021364865523
Cross Test Loan,0.875825627477,NA,0.174370716292,0.707430497273,-0.00588845831016,0.00310408764809,0.22884645844,-0.0748011034531,,-0.0947430889198
Cross Test Loan,0.871862615588,NA,0.176925418658,0.695498335105,-0.00477062177238,-0.0046711462979,0.234414742075,-0.0309460050385,-0.147788246606,
Cross Test Loan,0.714663143989,NA,0.40730497024,,,,,,,
Cross Test Loan,0.874504623514,NA,,0.846794081776,,,,,,
Cross Test Loan,0.676354029062,NA,,,-0.112321357334,,,,,
Cross Test Loan,0.676354029062,NA,,,,0.0263900757999,,,,
Cross Test Loan,0.774108322325,NA,,,,,0.418812761181,,,
Cross Test Loan,0.676354029062,NA,,,,,,-0.130512442592,,
Cross Test Loan,0.701453104359,NA,,,,,,,-0.217208797471,
Cross Test Loan,0.689564068692,NA,,,,,,,,-0.13233655317
Cross Test Ins,0.81462585034,NA,0.155059200933,0.718250638548,0.00120762930686,0.0127594437288,0.24158359156,-0.0277906373204,-0.151073027771,-0.0120087492685
Cross Test Ins,0.80612244898,NA,,0.767825399355,-0.00795825717901,0.00547082115748,0.229962823312,-0.0409948877944,-0.147558208066,-0.00704063692865
Cross Test Ins,0.698979591837,NA,0.390034515069,,-0.0224496506023,0.0477470289446,0.479904031705,-0.0726313267168,-0.256570287682,0.00889774826113
Cross Test Ins,0.81462585034,NA,0.154912238579,0.718218981841,,0.0128994404763,0.241549500476,-0.0276414224154,-0.151173812925,-0.011929961878
Cross Test Ins,0.81462585034,NA,0.153933211881,0.719123353321,0.00303359343504,,0.243984178576,-0.0280335739396,-0.152790153287,-0.0108731578694
Cross Test Ins,0.816326530612,NA,0.132970202397,0.807422443962,-0.0074077370571,0.0429026630778,,0.0256215595247,-0.143577159225,-0.00488564578285
Cross Test Ins,0.81462585034,NA,0.157121342991,0.719714220059,-0.000591290214471,0.0129805350594,0.236573847138,,-0.16413487848,-0.0131233152917
Cross Test Ins,0.816326530612,NA,0.152975475321,0.73051223031,-0.000860955453042,0.0204301908799,0.238413970181,-0.0803675890591,,-0.0942643551168
Cross Test Ins,0.816326530612,NA,0.154628109222,0.718043333255,0.00113992654795,0.0122440938773,0.241291249445,-0.0282325300451,-0.159134604357,
Cross Test Ins,0.562925170068,NA,0.40067728129,,,,,,,
Cross Test Ins,0.812925170068,NA,,0.872228722576,,,,,,
Cross Test Ins,0.425170068027,NA,,,-0.0829533139757,,,,,
Cross Test Ins,0.425170068027,NA,,,,0.104629302931,,,,
Cross Test Ins,0.595238095238,NA,,,,,0.433859147275,,,
Cross Test Ins,0.425170068027,NA,,,,,,-0.14893911843,,
Cross Test Ins,0.479591836735,NA,,,,,,,-0.255898353219,
Cross Test Ins,0.425170068027,NA,,,,,,,,-0.15386811023
Cross Train Rec,0.808711006474,NA,0.127271607846,0.719871823864,-0.0661218589939,0.0304449161399,0.361834089443,-0.0605407830664,0.0132453425425,-0.176406321252
Cross Train Rec,0.8063566804,NA,,0.773271966303,-0.097988734013,0.0267621067339,0.342118146847,-0.0495681626047,0.0124291477134,-0.171469259165
Cross Train Rec,0.727192466157,NA,0.406391514929,,-0.116734342392,0.000415688828252,0.611813356007,-0.0638601111354,-0.125641059089,-0.107809840194
Cross Train Rec,0.812536786345,NA,0.149574271835,0.724468860289,,0.0243175174629,0.3750310823,-0.0741968445254,0.0131013500917,-0.176343476516
Cross Train Rec,0.81047675103,NA,0.125607969298,0.717826765452,-0.0628296009372,,0.369663984654,-0.0630325276608,0.00824328930526,-0.170422081523
Cross Train Rec,0.814891112419,NA,0.0686137908288,0.845220087418,-0.120683603816,0.0863587120377,,0.0171916554432,0.0220614139067,-0.164625662928
Cross Train Rec,0.809888169511,NA,0.122600443377,0.721176683204,-0.07477246699,0.0331204110258,0.349001833155,,-0.013885101078,-0.174269078401
Cross Train Rec,0.807533843437,NA,0.127238865936,0.718332712409,-0.0661116751647,0.0295548020521,0.362039650556,-0.0564945695322,,-0.168501816472
Cross Train Rec,0.81459682166,NA,0.123219810934,0.707939500296,-0.0665091488261,0.0153908190028,0.356927012371,-0.0568449511335,-0.106768692942,
Cross Train Rec,0.684226015303,NA,0.441626509718,,,,,,,
Cross Train Rec,0.814891112419,NA,,0.903057273969,,,,,,
Cross Train Rec,0.524426133019,NA,,,-0.334218499035,,,,,
Cross Train Rec,0.622130665097,NA,,,,0.0465435510851,,,,
Cross Train Rec,0.666862860506,NA,,,,,0.590546769191,,,
Cross Train Rec,0.622130665097,NA,,,,,,-0.0331164421768,,
Cross Train Rec,0.648616833431,NA,,,,,,,-0.159519685631,
Cross Train Rec,0.62507357269,NA,,,,,,,,-0.123275870504
Cross Train Unem,0.826112584733,NA,0.195057630939,0.679501530362,-0.0433819178109,-0.00248673515402,0.131457137638,0.0106616500099,-0.0755663883432,-0.00905053708995
Cross Train Unem,0.824344238137,NA,,0.707549211783,-0.0671308684391,-0.0140269352376,0.132129058224,-0.0125966674714,-0.0681462967308,0.0147227154174
Cross Train Unem,0.746242263484,NA,0.283438417926,,-0.125131884093,0.0836271437448,0.328757426617,-0.0644617319663,-0.210012182866,0.0529946844375
Cross Train Unem,0.826996758031,NA,0.20110495403,0.68538441273,,-0.00818323297649,0.133585453034,0.0052435699987,-0.0782021615351,-0.0120942591851
Cross Train Unem,0.825523135868,NA,0.195294890152,0.679122246289,-0.0437571177644,,0.131349091161,0.0106939687109,-0.0748626118271,-0.00897005614652
Cross Train Unem,0.824933687003,NA,0.194300262648,0.718615250779,-0.0489968757502,0.000980859543291,,0.0435557866,-0.0632100549476,-0.0134508192395
Cross Train Unem,0.825523135868,NA,0.193984700172,0.678694766326,-0.0424538662564,-0.00258999857877,0.133674314966,,-0.070247557035,-0.00915381669986
Cross Train Unem,0.825817860301,NA,0.193462906689,0.687370692123,-0.0458085629633,0.0065960487446,0.127091672563,-0.0157702423586,,-0.0485804059636
Cross Train Unem,0.826407309166,NA,0.194141010186,0.678949143902,-0.0437960593691,-0.00231366150474,0.131683952561,0.0107447804226,-0.0818487501559,
Cross Train Unem,0.688770999116,NA,0.320211587597,,,,,,,
Cross Train Unem,0.822870615974,NA,,0.768766355805,,,,,,
Cross Train Unem,0.53934571176,NA,,,-0.213120581358,,,,,
Cross Train Unem,0.564986737401,NA,,,,0.124718536379,,,,
Cross Train Unem,0.713527851459,NA,,,,,0.300101128914,,,
Cross Train Unem,0.613910993221,NA,,,,,,-0.150353178072,,
Cross Train Unem,0.638667845564,NA,,,,,,,-0.20730181505,
Cross Train Unem,0.620984379605,NA,,,,,,,,-0.103212747079
Cross Train CPS,0.788944723618,NA,0.13175149191,0.605036059531,-0.00277495029006,0.0800637459289,0.152064772104,-0.0847207957262,-0.256948312976,0.0127687071639
Cross Train CPS,0.794265444871,NA,,0.650711185553,0.0163812690048,0.0560879478894,0.13407222262,-0.087251333517,-0.259614656027,0.0212586427337
Cross Train CPS,0.685486254803,NA,0.344546994812,,-0.0446129069555,0.192755386541,0.315895885658,-0.135761921898,-0.28021373265,-0.0315782106554
Cross Train CPS,0.789240319243,NA,0.131220946613,0.60519337691,,0.0792444429586,0.152068154972,-0.0851889175906,-0.256634111453,0.0129165959385
Cross Train CPS,0.79988176175,NA,0.113767517048,0.623052856794,0.0196573890094,,0.170821418402,-0.0927676257693,-0.251271352873,0.0328103168689
