Domain,Within,Cross Tested,Cross Trained
Rec,0.825918032787+-0.000469004567828,0.814207650273+-0.00597042988616,0.807572060222+-0.0153106806791
Unem,0.777010869565+-0.000503449266936,0.774491180461+-0.00512020685595,0.823656732652+-0.0143642828287
CPS,0.826528150134+-0.00047207053684,0.804551539491+-0.0105832585681,0.786821272131+-0.0182867292554
Hos,0.788271126761+-0.000572811716481,0.783831282953+-0.00468292182573,0.817162933119+-0.0153514336533
Loan,0.875883597884+-0.000417938362546,0.86393659181+-0.00400680340501,0.801667668862+-0.00811118028494
Ins,0.805037414966+-0.000542073130398,0.795578231292+-0.0122330819784,0.799715809295+-0.0179834048431
