Prediction,Accuracy,Error,Reliability,Privacy,Volitionality,Causes Outcome,Causes Cycle,Causes Disparity,Caused by Group
All Domains,0.814695127834,0.00019472009821,0.483999090388,-0.0407073369717,0.0572411629332,0.673516043585,-0.0982943371332,-0.259929520712,0.00991262282202
Within Rec,0.81547107438,0.000524284938858,0.515364795773,-0.121322169648,-0.0112226952813,0.703817227617,-0.00109955114863,-0.283027974186,0.0519667141515
Within Unem,0.746837765957,0.000546978048893,0.290073263989,-0.162102348347,0.17668128306,0.43486582756,-0.0833051331255,-0.280833267196,0.0851614459373
Within CPS,0.845784741144,0.000455199922435,0.603970087736,-0.134697206798,0.385164283747,0.463367605443,-0.1487071975,-0.180189425411,-0.132945935166
Within Hos,0.832846153846,0.000512874646549,0.444827487163,0.0982643437922,-0.113644426617,0.708664078001,0.0154599416702,-0.336222846684,0.00650906738043
Within Loan,0.85221875,0.000427428051267,0.476987331888,0.00167149063625,0.133522281704,0.921940405863,-0.0756047517032,-0.220220243539,-0.1036905517
Within Ins,0.819574468085,0.000564720748404,0.411770087357,-0.174245422544,0.00735880697209,1.07781189975,-0.194241942678,-0.211728293571,0.0757529553758
